file,line,col,pattern,severity,description,suggested_replacement,snippet,func_context,decorator_context
src/strategies/combined_core.py,121,14,P06_reindex_fillna,M,.reindex(...).fillna(...) chain for cross-frequency alignment,"vbt.Resampler(src_idx, tgt_idx).resample(series)","aligned = allocations.reindex(index=prices.index, columns=prices.columns).fillna( 0.0",build_native_combined,
src/strategies/combined_core.py,129,26,P07_shift_fillna_causal,B,.shift(n).fillna(v) causal-shift pattern,".vbt.fshift(n, fill_value=v)",allocations_shifted = aligned.shift(-1).fillna(0.0),build_native_combined,
src/strategies/combined_portfolio.py,243,13,P06_reindex_fillna,M,.reindex(...).fillna(...) chain for cross-frequency alignment,"vbt.Resampler(src_idx, tgt_idx).resample(series)",static = static.reindex(common.columns).fillna(0.0),_compute_weights_ts,
src/strategies/combined_portfolio.py,247,8,P08_np_broadcast_to,M,np.broadcast_to(...) — VBT handles broadcasting implicitly,Pass 1D Series to VBT; let from_signals/from_orders broadcast,"np.broadcast_to(static.values, common.shape),",_compute_weights_ts,
src/strategies/composite_fx_alpha.py,349,20,P02_pct_change_fillna,B,.pct_change().fillna(...) chain,Consider .vbt.pct_change() accessor or vbt.ReturnsAccessor,returns_daily = close_daily.pct_change().fillna(0.0),pipeline,
src/strategies/daily_momentum.py,73,12,P04_np_log_ratio_shift,B,np.log(x / x.shift(n)) outside a @njit kernel,np.log1p(x.vbt.pct_change(n)) or keep as-is if perf-critical,ret_s = np.log(closes / closes.shift(w_short)),compute_xs_momentum_weights,
src/strategies/daily_momentum.py,74,12,P04_np_log_ratio_shift,B,np.log(x / x.shift(n)) outside a @njit kernel,np.log1p(x.vbt.pct_change(n)) or keep as-is if perf-critical,ret_l = np.log(closes / closes.shift(w_long)),compute_xs_momentum_weights,
src/strategies/daily_momentum.py,127,4,P01_manual_ternary_signal,M,"pd.Series(0.0, index=...) followed by boolean-indexed assignments (manual ternary signal)",Pass entries/short_entries masks to Portfolio.from_signals directly,"signal = pd.Series(0.0, index=close_daily.index)",backtest_ts_momentum_rsi,
src/strategies/mr_macro.py,119,16,P05_pd_read_direct,B,pd.read_parquet/read_csv instead of vbt.*Data loaders,vbt.ParquetData.pull(path) / vbt.CSVData.pull(path),"spread_df = pd.read_parquet(data_dir / ""SPREAD_10Y2Y_daily.parquet"")",_load_macro_series,
src/strategies/mr_macro.py,123,15,P05_pd_read_direct,B,pd.read_parquet/read_csv instead of vbt.*Data loaders,vbt.ParquetData.pull(path) / vbt.CSVData.pull(path),"unemp_df = pd.read_parquet(data_dir / ""UNEMPLOYMENT_monthly.parquet"")",_load_macro_series,
src/strategies/mr_macro.py,358,12,P08_np_broadcast_to,M,np.broadcast_to(...) — VBT handles broadcasting implicitly,Pass 1D Series to VBT; let from_signals/from_orders broadcast,"np.broadcast_to(session_1d[:, None], (len(close), n_cols)),",pipeline,
src/strategies/mr_macro.py,363,12,P08_np_broadcast_to,M,np.broadcast_to(...) — VBT handles broadcasting implicitly,Pass 1D Series to VBT; let from_signals/from_orders broadcast,"np.broadcast_to(macro_ok_1d.values[:, None], (len(close), n_cols)),",pipeline,
